experiment_id	round	params_changed	composite_score	vlm_walk_score	dino_identity	hard_gates_pass	cost_usd	generation_time_s	timestamp
0	1	baseline	0.6559	0.7100	0.8734	True	0.0000	0.0	1775945477
1	1	include_pose_names	0.7457	0.5200	0.7904	True	0.0000	0.0	1775945477
2	1	additional_constraints	0.4799	0.4200	0.7572	True	0.0000	0.0	1775945477
0	1	baseline	0.6594	0.7900	0.7622	True	0.0000	0.0	1776001702
1	1	include_pose_names	0.7375	0.6000	0.8153	True	0.0000	0.0	1776001702
2	1	additional_constraints	0.6956	0.6100	0.7106	True	0.0000	0.0	1776001702
3	1	include_animation_principles	0.6677	0.6200	0.8417	True	0.0000	0.0	1776001702
4	1	include_animation_principles|additional_constraints	0.5671	0.4000	0.8489	True	0.0000	0.0	1776001702
0	1	baseline	0.0000	0.7400	0.8326	True	0.0700	0.0	1776001772
1	1	baseline	0.0000	0.7300	0.8731	True	0.0700	0.0	1776001782
2	1	additional_constraints	0.0000	0.5100	0.7991	True	0.0700	0.0	1776001792
3	1	include_animation_principles	0.0000	0.7300	0.8713	True	0.0700	0.0	1776001802
4	1	include_animation_principles|additional_constraints	0.0000	0.5900	0.7272	True	0.0700	0.0	1776001812
5	1	include_animation_principles	0.0000	0.4900	0.7755	True	0.0700	0.1	1776001822
6	1	additional_constraints	0.0000	0.4900	0.8681	True	0.0700	0.0	1776001832
7	1	additional_constraints	0.0000	0.8000	0.7941	True	0.0700	0.1	1776001843
8	1	include_animation_principles|additional_constraints	0.0000	0.5100	0.8154	True	0.0700	0.0	1776001853
9	1	additional_constraints	0.0000	0.5800	0.8094	True	0.0700	0.0	1776001863
10	1	additional_constraints	0.0000	0.5600	0.7181	True	0.0700	0.0	1776001873
11	1	additional_constraints	0.0000	0.4800	0.7860	True	0.0700	0.0	1776001883
12	1	additional_constraints	0.0000	0.7200	0.7522	True	0.0700	0.0	1776001893
13	1	additional_constraints	0.0000	0.4200	0.8575	True	0.0700	0.0	1776001903
14	1	additional_constraints	0.0000	0.6400	0.7459	True	0.0700	0.0	1776001913
15	1	include_animation_principles|additional_constraints	0.0000	0.4600	0.7307	True	0.0700	0.0	1776001923
16	1	additional_constraints	0.0000	0.4500	0.9062	True	0.0700	0.0	1776001933
17	1	include_walk_cycle_reference	0.0000	0.7600	0.9447	True	0.0700	0.0	1776001943
18	1	include_walk_cycle_reference	0.0000	0.5100	0.8579	True	0.0700	0.0	1776001953
19	1	include_walk_cycle_reference|include_animation_principles	0.0000	0.7100	0.7435	True	0.0700	0.0	1776001963
0	1	baseline	0.7327	0.4300	0.8379	True	0.0000	0.0	1776002709
