experiment_id	round	params_changed	composite_score	vlm_walk_score	dino_identity	hard_gates_pass	cost_usd	generation_time_s	timestamp
0	1	baseline	0.7412	0.6667	0.8309	True	0.0700	23.0	1776024605
1	1	include_pose_names	0.7899	0.7333	0.8034	True	0.0700	18.3	1776024641
2	1	additional_constraints	0.8446	0.8000	0.8314	True	0.0700	18.5	1776024682
3	1	include_animation_principles	0.7327	0.6667	0.7936	True	0.0700	18.8	1776024714
4	1	include_animation_principles|additional_constraints	0.7563	0.7000	0.8007	True	0.0700	22.5	1776024752
5	1	include_animation_principles	0.7842	0.7333	0.7804	True	0.0700	22.0	1776024791
6	1	additional_constraints	0.8069	0.7667	0.7810	True	0.0700	16.8	1776024823
7	1	additional_constraints	0.8376	0.8000	0.7986	True	0.0700	16.4	1776024853
8	1	include_animation_principles|additional_constraints	0.6253	0.4000	0.8390	True	0.0700	19.8	1776024886
9	1	additional_constraints	0.8093	0.7667	0.7980	True	0.0700	16.9	1776024916
10	1	additional_constraints	0.7586	0.7000	0.8159	True	0.0700	21.6	1776024951
11	1	additional_constraints	0.8386	0.8000	0.8012	True	0.0700	20.0	1776024988
12	1	additional_constraints	0.7245	0.6000	0.7809	True	0.0700	21.3	1776025023
13	1	additional_constraints	0.7265	0.6000	0.7941	True	0.0700	16.4	1776025053
14	1	additional_constraints	0.8364	0.8000	0.7917	True	0.0700	19.6	1776025089
15	1	include_animation_principles|additional_constraints	0.6751	0.0000	0.8099	True	0.0700	17.5	1776025120
16	1	additional_constraints	0.8348	0.8000	0.7898	True	0.0700	19.2	1776025180
17	1	include_walk_cycle_reference	0.8137	0.8000	0.6895	True	0.0700	18.4	1776025211
18	1	include_walk_cycle_reference	0.6151	0.4000	0.7836	True	0.0700	18.4	1776025244
19	1	include_walk_cycle_reference|include_animation_principles	0.6767	0.6333	0.6593	True	0.0700	18.2	1776025276
20	2	reference_strategy	0.8428	0.8000	0.8167	True	0.0700	30.7	1776025337
21	2	reference_strategy	0.8382	0.8000	0.7934	True	0.0700	23.2	1776025375
22	2	baseline	0.8370	0.8000	0.7959	True	0.0700	19.2	1776025412
23	2	include_walk_cycle_reference	0.7048	0.6000	0.6862	True	0.0700	17.9	1776025445
24	2	include_walk_cycle_reference	0.7307	0.6667	0.8096	True	0.0700	16.4	1776025476
25	2	reference_strategy|include_walk_cycle_reference	0.7104	0.6000	0.7252	True	0.0700	16.4	1776025524
26	2	reference_strategy|include_walk_cycle_reference	0.6862	0.6333	0.6539	True	0.0700	15.6	1776025554
27	2	reference_strategy	0.7244	0.6000	0.7826	True	0.0700	18.0	1776025587
28	2	reference_strategy	0.6763	0.6000	0.6968	True	0.0700	22.2	1776025624
29	2	include_walk_cycle_reference|include_animation_principles	0.7321	0.6667	0.7961	True	0.0700	17.5	1776025656
30	2	reference_strategy|additional_constraints	0.6702	0.0000	0.7880	True	0.0700	23.1	1776025704
31	2	reference_strategy|additional_constraints	0.7221	0.6000	0.7871	True	0.0700	18.6	1776025763
32	2	additional_constraints	0.7459	0.7000	0.8064	True	0.0700	22.4	1776025802
33	2	include_walk_cycle_reference|additional_constraints	0.6980	0.6000	0.8082	True	0.0700	18.5	1776025838
34	2	include_walk_cycle_reference|additional_constraints	0.6146	0.4000	0.7834	True	0.0700	21.2	1776025873
35	2	reference_strategy|include_walk_cycle_reference|additional_constraints	0.7346	0.7000	0.7086	True	0.0700	18.3	1776025908
36	2	reference_strategy|include_walk_cycle_reference|additional_constraints	0.6531	0.0000	0.7134	True	0.0700	20.5	1776025943
37	2	reference_strategy|additional_constraints	0.6168	0.4667	0.7931	True	0.0700	25.8	1776026010
38	2	reference_strategy|additional_constraints	0.6179	0.4000	0.8230	True	0.0700	20.8	1776026044
39	2	include_walk_cycle_reference|include_animation_principles|additional_constraints	0.7294	0.6667	0.8016	True	0.0700	17.4	1776026075
40	3	baseline	0.8405	0.8000	0.8061	True	0.0700	20.0	1776026111
41	3	frame_count	0.8292	0.8000	0.8283	True	0.0700	17.7	1776026144
42	3	frame_count	0.7483	0.7333	0.7541	True	0.0700	18.3	1776026180
43	3	sheet_layout	0.8365	0.8000	0.8156	True	0.0700	18.4	1776026214
44	3	sheet_layout|frame_count	0.8104	0.8000	0.8188	True	0.0700	18.2	1776026246
45	3	sheet_layout	0.8423	0.8000	0.8156	True	0.0700	21.1	1776026282
46	3	sheet_layout|frame_count	0.8264	0.8000	0.8447	True	0.0700	18.6	1776026314
47	3	sheet_layout	0.8429	0.8000	0.8162	True	0.0700	16.7	1776026345
48	3	sheet_layout|frame_count	0.7842	0.7333	0.8156	True	0.0700	17.8	1776026378
49	3	sheet_layout|frame_count	0.8274	0.8000	0.8443	True	0.0700	22.8	1776026424
50	3	include_animation_principles	0.8402	0.8000	0.8052	True	0.0700	17.4	1776026458
51	3	frame_count|include_animation_principles	0.6707	0.0000	0.8323	True	0.0700	22.5	1776026497
52	3	frame_count|include_animation_principles	0.7421	0.7000	0.8289	True	0.0700	18.5	1776026556
53	3	sheet_layout|include_animation_principles	0.8338	0.8000	0.7765	True	0.0700	16.8	1776026595
54	3	sheet_layout|frame_count|include_animation_principles	0.7028	0.6333	0.8043	True	0.0700	17.6	1776026627
55	3	sheet_layout|include_animation_principles	0.7922	0.7333	0.8155	True	0.0700	16.5	1776026660
56	3	sheet_layout|frame_count|include_animation_principles	0.8084	0.8000	0.7239	True	0.0700	16.4	1776026699
57	3	sheet_layout|include_animation_principles	0.6213	0.4000	0.8092	True	0.0700	18.8	1776026733
58	3	sheet_layout|frame_count|include_animation_principles	0.8252	0.8000	0.8399	True	0.0700	18.3	1776026766
59	3	sheet_layout|frame_count|include_animation_principles	0.5962	0.4000	0.8449	True	0.0700	17.9	1776026800
60	4	additional_constraints	0.7673	0.7333	0.8036	True	0.0700	22.0	1776026836
61	4	additional_constraints	0.7586	0.7000	0.8075	True	0.0700	21.3	1776026880
62	4	additional_constraints	0.7557	0.7000	0.7968	True	0.0700	17.5	1776026913
63	4	additional_constraints	0.8035	0.7667	0.7877	True	0.0700	20.8	1776026951
64	4	additional_constraints	0.7794	0.7333	0.7801	True	0.0700	17.8	1776026983
65	4	additional_constraints	0.6175	0.4000	0.8218	True	0.0700	20.2	1776027020
66	4	additional_constraints	0.7512	0.6667	0.8261	True	0.0700	15.4	1776027050
67	4	additional_constraints	0.7134	0.6333	0.8018	True	0.0700	15.4	1776027081
68	4	additional_constraints|include_animation_principles	0.8192	0.8000	0.8089	True	0.0700	22.6	1776027121
69	4	additional_constraints|include_animation_principles	0.7828	0.7333	0.8228	True	0.0700	17.3	1776027153
70	4	additional_constraints|include_animation_principles	0.6845	0.6333	0.6969	True	0.0700	19.0	1776027190
71	4	additional_constraints|include_animation_principles	0.7263	0.6000	0.8139	True	0.0700	20.5	1776027240
72	4	additional_constraints|include_animation_principles	0.6977	0.6333	0.7842	True	0.0700	22.9	1776027276
73	4	additional_constraints|include_animation_principles	0.7110	0.6333	0.8133	True	0.0700	20.3	1776027311
74	4	additional_constraints|include_animation_principles	0.7420	0.7000	0.8107	True	0.0700	19.5	1776027347
75	4	additional_constraints|include_animation_principles	0.8448	0.8000	0.8270	True	0.0700	23.9	1776027400
76	4	additional_constraints|include_walk_cycle_reference	0.6820	0.6000	0.7181	True	0.0700	19.3	1776027434
77	4	additional_constraints|include_walk_cycle_reference	0.7988	0.8000	0.6861	True	0.0700	18.1	1776027466
78	4	additional_constraints|include_walk_cycle_reference	0.5937	0.4000	0.6918	True	0.0700	18.1	1776027499
79	4	additional_constraints|include_walk_cycle_reference	0.7323	0.6667	0.7977	True	0.0700	16.3	1776027529
80	5	baseline	0.7286	0.6000	0.7992	True	0.0700	19.3	1776027573
81	5	frame_count	0.7561	0.7000	0.8466	True	0.0700	20.5	1776027609
82	5	frame_count	0.6894	0.6333	0.8437	True	0.0700	22.0	1776027649
83	5	baseline	0.7247	0.6000	0.8073	True	0.0700	18.8	1776027684
84	5	baseline	0.6177	0.4000	0.8041	True	0.0700	17.4	1776027717
85	5	baseline	0.7133	0.6333	0.8017	True	0.0700	19.0	1776027750
86	5	baseline	0.7774	0.7333	0.7942	True	0.0700	18.7	1776027785
87	5	baseline	0.6150	0.4000	0.7850	True	0.0700	18.2	1776027818
88	5	baseline	0.8335	0.8000	0.8003	True	0.0700	22.6	1776027854
89	5	baseline	0.7104	0.6333	0.8174	True	0.0700	20.2	1776027889
90	5	baseline	0.7509	0.7000	0.7880	True	0.0700	16.9	1776027922
91	5	baseline	0.7066	0.6333	0.7939	True	0.0700	16.7	1776027963
92	5	baseline	0.7157	0.6333	0.8130	True	0.0700	16.8	1776027998
93	5	baseline	0.7370	0.6667	0.8106	True	0.0700	18.4	1776028032
94	5	baseline	0.7012	0.6000	0.8269	True	0.0700	15.8	1776028063
95	5	baseline	0.6714	0.0000	0.8166	True	0.0700	16.6	1776028094
96	5	baseline	0.7531	0.7000	0.8103	True	0.0700	20.7	1776028156
97	5	baseline	0.7108	0.6333	0.8209	True	0.0700	16.9	1776028193
98	5	baseline	0.7302	0.7000	0.7239	True	0.0700	18.1	1776028227
99	5	baseline	0.7096	0.6333	0.7904	True	0.0700	19.7	1776028261
